Beat_ID,River,Beat_Name,Position,Beat_Upstream,Beat_Downstream,Beat_Description
A,Witham,Ponton A,3,///coffee.pastels.excellent,///hunk.calms.hardens,Upstream of Bridge
B,Witham,Ponton B,4,///hunk.calms.hardens,///rectangular.leaps.nearing,Downstream of Bridge
C,Witham,Syston - A607 Bridge,7,///commented.seemingly.frame,///feeds.rebounds.seducing,Downstream of A607 bridge
D,Witham,Syston - Old Weir,8,///harmonica.witless.havens,///pills.sample.motivator,Downstream to Syston Old Weir
E,Witham,Beet Pad,9,///pills.sample.motivator,///theory.staining.shuffle,Syston Old Weir to Beet Pad
F,Witham,White Bridge,10,///drive.umpires.lotteries,///iterative.replenish.dates,Beet Pad to White Bridge
G,Witham,Elnor's Weir,11,///slant.sunset.bogus,///campers.settle.dizziness,White Bridge to Elnor's Weir
H,Witham,Girder Bridge,12,///campers.settle.dizziness,///ticket.island.degrading,Elnor's Weir to Girder Bridge
I,Witham,Barkston,13,///waistcoat.fetches.residual,///stems.slam.dive,Girder Bridge to Railway viaduct
IX,Witham,I Beat eXtension,14,///sensibly.inspector.denim,///merely.behalf.extremely,Downstream of railway viaduct
J,Witham,Colsterworth,1,///endlessly.obviously.ambitions,///brighter.farms.recruiter,Upper Witham nr Colsterworth
K,Witham,Belton Park,6,///flicked.tallest.quietest,///wider.iterative.immunity,NT Belton House - centre section 'no fishing'
L,Chater,Chater,31,///seasonal.angers.sprinkler,///beginning.entitle.bluff,R. Chater at Ketton
M,Welland,Welland (orig),25,///duplicity.trek.robe,///march.noodle.equity,R. Welland on 'Monty's Farm' - original beat
N,Witham,Washdike Lane,2,///browsers.ranged.topped,///coffee.pastels.excellent,Upstream of A beat
O,Welland,Collyweston Bridge,23,///worker.paddocks.stunts,///relieves.refrained.manuals,Welland upstream of Collyweston Bridge in Geeston
P,Witham,Papermill,5,///bland.gladiators.agent,///quick.take.zealous,Dble bank to ///strain.pocket.carbon
Q,Welland,Wakerley,21,///proved.digitally.stag,///talkers.belly.revamped,Burghley House - Barrowden to Tixover
R,Welland,Duddington,22,///headless.culling.defeated,///astounded.flagged.writers,BH - Duddington to Collyweston Bridge
S,Welland,Ketton,24,///astounded.flagged.writers,///flopping.buzzing.ironclad,BH - Collyweston Bridge to Chater
T,Welland,Tinwell,26,///flopping.buzzing.ironclad,///showcases.backfired.officials,BH - Chater confluence to Tinwell
U,Welland,Stamford,27,///cards.expand.brand,///petty.conclude.generally,BH - downstream of Stamford to Uffington
V,Witham,GAA,15,///sadly.functions.majority,///geese.collide.spells,All GAA Waters (W3w not accurate!!)
